Id,Codigo,Descricao,Ativo,Unid,Custo,Preco,Estoque
5928ba86-f46a-43c6-95f3-68a5c5b2a53a,7891799529031,DESENGRIPANTE WURTH W-MAX  SPRAY 300ML,1,UN,"9,74","17,532",0
69ca56c3-6b03-474a-925c-108852496e96,7898422209810,DESENTUPIDOR CANOS/TUBOS C/ALMA AÇO 10M NACIONAL,1,UN,"39,72","79,44",0
56b48e40-683a-4e93-8161-c82ae5033ec0,7898422205256,DESENTUPIDOR CANOS/TUBOS C/ALMA AÇO 5M NACIONAL,1,UN,"17,36","34,8",0
960aea0f-e839-40bf-9ec7-864a02951426,7896495000129,DESENTUPIDOR CANOS/TUBOS DIABO VERDE GRANUL 300G,1,UN,"16,7633","26,8213",3
bed55bd9-dfa4-4dad-b320-cd6db63bceb3,7896495000174,DESENTUPIDOR CANOS/TUBOS DIABO VERDE LÍQUIDO 1L,1,UN,"38,03","60,848",2
0f5b7f83-7d7f-4d30-b283-900e4eda9abb,7896202400020,DESENTUPIDOR CANOS/TUBOS TUFÃO 10M OVERTIME,1,UN,"83,23","149,814",1
19d14dd2-40f4-466f-b02f-9b8c32b3341c,7896202400099,DESENTUPIDOR CANOS/TUBOS TUFÃO 15M OVERTIME,1,UN,"119,21","214,578",1
b1aeb841-20a6-4186-8edd-6b4a518c631a,7896202400273,"DESENTUPIDOR CANOS/TUBOS TUFÃO 2,5M OVERTIME",1,UN,"19,08","34,344",1
18a6ad9b-98aa-4043-ad4e-657fa3b55d00,7896202400013,DESENTUPIDOR CANOS/TUBOS TUFÃO I 5M OVERTIME,1,UN,"26,48","47,664",1
b5007a07-36bc-4ef4-8d06-ec3a7ef0852f,7898938922159,DESENTUPIDOR DE VASO SANITÁRIO DALCIN D015,1,UN,"6,77","11,1705",0
1025abbc-8325-4efe-a542-5e460b95cc09,7898121470082,DESENTUPIDOR DE VASO SANITÁRIO GOMAFLEX,1,UN,"14,2475","28,495",0
cee6da54-7d8d-49d1-a9ec-22cfddbc4dc8,7898422207267,DESENTUPIDOR DE VASO SANITÁRIO NACIONAL,1,UN,"14,69",25,5
529f9425-1e61-446b-b591-b68a2cc2a48e,7899583304413,DESENTUPIDOR DE VASO SANITÁRIO REFORÇADO NACIONAL,1,UN,"17,64",30,0
d99c693a-265a-492e-93c7-aa3e1391f74a,7899850331388,DESENTUPIDOR PIA/RALO SANFONADO CK4216 CLINK,1,UN,"10,35","16,56",1
0402b7fb-380f-4333-a927-02553989892a,7898938922395,DESENTUPIDOR PIA/RALO SANFONADO DALCIN D046,1,UN,"5,13","8,4645",1
ac14127f-aab1-4887-a1dd-9dbe4a73f5fb,7908691521138,DESVIADOR CHUVEIRO CR 1/2FX1/2FX1/2M LG,1,UN,"22,5","49,5",0
a2046096-47f4-4d6c-badc-4fa3b70e858c,7896697801418,DIAFRAGMA CENTRAL P/DUCHA/TORN ELÉTR SINTEX,1,UN,"6,28","18,84",1
292f63a0-0c98-4b9c-a7c4-b2b0e82e255d,7896587033370,"DILUENTE ESM CATAL EPOXI PRO-TECH 0,9L EUC",1,UN,"26,64","43,956",0
c2e59e0a-c64f-462f-b3f6-50d3c7cc706b,7897418808518,DIMMER P/LAMP/VENTILADOR 4X2 BIV EXATRON,1,UN,"22,925","41,265",2
6edcce0a-c1f8-4131-8209-303e315164dc,7891595006972,"DISCO BORRACHA 4.1/2"" C/VELCRO ROMA",1,UN,"11,19","24,618",0
fdc07594-5e82-4720-8481-bcca2b7fbeea,7897488008856,"DISCO BORRACHA 4.1/2"" MAKITA DTOOLS",1,UN,9,18,1
dac6c392-586d-41ef-98b8-680603b2a20f,7897488008849,"DISCO BORRACHA 4.1/2"" P/BOSCH DTOOLS",1,UN,9,18,1
dd8ab81a-a19d-4935-9de0-b328d58d6094,7899583323520,"DISCO BORRACHA 5"" C/VELCRO MISTER",1,UN,"10,52","23,144",0
5d01b877-2de2-4a83-976f-ad0dbc1de55e,7891595006989,"DISCO BORRACHA 5"" C/VELCRO ROMA",1,UN,"12,53","27,566",0
5123a1b0-eaf2-4d72-b9a8-8f63ba0ba27c,7891595007009,"DISCO BORRACHA 7"" C/VELCRO ROMA",1,UN,"20,72","45,584",1
7127767f-a844-48d9-a1e5-f898d827f7a6,7897488008863,"DISCO BORRACHA 7"" DTOOLS",1,UN,"15,28","27,5",1
828ea694-de27-47b5-9db9-ae5ad981400d,7899106100263,"DISCO CORTE AÇO 12"" GROS 304X3,2X25 2 TELAS ICDER",1,UN,"19,2","38,4",2
507ec66a-e0ca-4ecf-951d-e9b911537b92,7899885113317,"DISCO CORTE AÇO 4.1/2"" FINO 114X1X22MM KALA",1,UN,"1,11",5,1
24578deb-a51b-4600-bc3e-8e83ef690115,7898143450997,"DISCO CORTE AÇO 4.1/2"" FINO 115X1,2X22MM DTOOLS",1,UN,"1,465","4,5",17
ddbfeb94-1552-4e39-ba79-796ef3866991,7899583329546,"DISCO CORTE AÇO 4.1/2"" FINO 115X1,2X22MM MISTER",1,UN,"1,1602","4,5",20
ff3cdc74-be7d-45ff-ba90-dd80a78436a7,4059952524764,"DISCO CORTE AÇO 4.1/2"" FINO 115X1X22MM BOSCH",1,UN,"1,594","5,6",46
541f3f65-0748-4dbf-9ce4-625354f4a4e9,7892261620294,"DISCO CORTE AÇO 4.1/2"" FINO 115X1X22MM CISER",1,UN,"1,77","7,08",0
aa7f544f-ed47-411d-bef6-37404b3aa39e,7897451418255,"DISCO CORTE AÇO 4.1/2"" FINO 115X1X22MM CORTAG",1,UN,"1,14","5,13",4
00be2b19-1da2-473d-a682-6bc920dd2e71,7891345785867,"DISCO CORTE AÇO 4.1/2"" FINO 115X1X22MM NORTON",1,UN,"1,813","5,439",10
412007f2-aefb-4ab0-9840-539a86c71d4d,7891265148520,"DISCO CORTE AÇO 4.1/2"" FINO 115X1X22MM STARRET",1,UN,"1,896","5,5",9
b90f2ba5-0e7b-4696-99c7-456d88b0dd1b,7898578161772,"DISCO CORTE AÇO 4.1/2"" GROS 115X3,2X22MM VILA",1,UN,"2,56","7,68",9
291b1230-c359-4571-8d57-40290d71d775,7891265148544,"DISCO CORTE AÇO 7"" FINO 178X1,6X22MM STARRET",1,UN,"4,65",10,1
a195a718-e164-4fde-9c0c-9713e0d08e60,7898143442251,"DISCO CORTE AÇO 7"" FINO 180X1,8X22MM DTOOLS",1,UN,"4,18","9,61",4
9ddc0ae0-b8cc-474b-aed5-cfc1224345ee,7899106100072,"DISCO CORTE AÇO 7"" GROS 177X3,2X22,2MM ICDER",1,UN,"4,77","9,54",5
d1886732-ad69-4a07-b1b5-566792fa470f,7892261620300,"DISCO CORTE AÇO 7"" GROS 180X1,9X22MM CISER",1,UN,"4,2","10,5",0
2d775d09-ac5c-4a09-9a64-74bbc47b1bd0,7891345140888,"DISCO CORTE AÇO 9"" 230X3X22MM NORTON",1,UN,"12,8","25,61",0
90eec542-f0d3-4d2e-aa67-e638a6a941f3,7898143448864,"DISCO CORTE AÇO 9"" FINO 230X1,8X22MM DTOOLS",1,UN,"8,364","18,4008",3
33648b45-e276-443d-9b11-d2545da9d862,7899106100126,"DISCO CORTE AÇO 9"" GROS 228X3,2X22MM ICDER",1,UN,"8,63","17,26",6
7845442c-9dc4-4082-8c16-f96289081476,7891345538166,"DISCO CORTE CERAM CONTIN 4.1/2"" 110X20MM QUARTZ",1,UN,11,"19,8",0
f20cf334-6d5c-4121-bcff-157c399f95ee,7898143455718,"DISCO CORTE CERAM CONTIN 4.1/2"" 115X22MM DTOOLS",1,UN,"11,48","20,66",1
591878c5-c257-4307-9f83-2d5e2acae810,7897451415483,"DISCO CORTE CERAM CONTIN 4.3/8"" 110X20MM CORTAG",1,UN,"12,84","28,248",1
8d4a1731-dc76-475f-8553-32dcbc0d602d,7898143442084,"DISCO CORTE CERAM CONTIN 4.3/8"" 110X20MM PRO DTOOL",1,UN,"9,925","21,835",1
c48436f8-5f24-4785-a6cd-7e548a48416b,7890203601172,"DISCO CORTE CERAM SEGM 4.1/2"" 110X20MM BELTO",1,UN,"9,86","17,75",0
a97e0472-fe6e-4c69-805e-46ee0c36212c,7897451416992,"DISCO CORTE CERAM SEGM 4.1/2"" 110X20MM CORTAG",1,UN,"12,93","28,446",0
3ce689bb-2a42-4400-ba16-2a557c5cdd57,7898143442077,"DISCO CORTE CERAM SEGM 4.1/2"" 110X20MM DTOOLS",1,UN,"10,005","22,011",1
5a79e371-c071-4764-8aef-248934c05828,7898143447843,"DISCO CORTE CERAM SEGM 4.1/2"" 110X20MM DTS",1,UN,"7,95","15,9",0
025abe48-a985-4377-ba14-e4f69bf5908d,7897095035580,"DISCO CORTE CERAM SEGM 4.1/2"" 110X20MM IRWIN",1,UN,"18,72","33,7",0
5abeaf5a-7456-4d08-8eeb-08327d364a42,7898946068603,"DISCO CORTE CERAM SEGM 4.1/2"" 110X20MM METTUL",1,UN,"10,34","18,61",0
be33b582-d9fd-417e-a65f-99774cc64620,7891345538159,"DISCO CORTE CERAM SEGM 4.1/2"" 110X20MM QUARTZOLIT",1,UN,"10,72","21,43",0
f452cde0-290a-405f-a3a9-7818530161bb,7898143453899,"DISCO CORTE CERAM SEGM 4.1/2"" 110X20MM SPRO DTOOLS",1,UN,"14,3","31,46",1
4c7f2ad8-03a6-451f-95b8-9f0564c5225e,7898143455725,"DISCO CORTE CERAM SEGM 4.1/2"" 115X22MM DTOOLS",1,UN,"10,6333","23,3933",1
92ce0380-a1a5-4f4e-b81c-0c5d7ffe7db3,7898422200824,"DISCO CORTE CERAM SEGM 4.1/2"" 230X25MM MISTER",1,UN,"55,04","93,6",0
496ccf96-5bf3-4055-a5d5-d44ce7d9bc91,7899811604797,"DISCO CORTE CERAM SEGM 7"" 180MM KALA",1,UN,23,"41,4",0
44c94375-e849-4dd8-a7b5-33257cc8a61c,7898143442909,"DISCO CORTE CERAM SEGM 7"" PRO DTOOLS",1,UN,"31,5933","56,8679",2
6b8e48bf-9c51-4170-838b-9ebcf63ff943,7898143448659,"DISCO CORTE CERAM SEGM 9"" PRO DTOOLS",1,UN,"56,3","101,34",3
f9933ef8-80f3-43f5-ab18-453f5a2a7812,7898143442091,"DISCO CORTE CERAM TURBO 4.1/2"" 110X20MM DTOOLS",1,UN,"10,145","22,319",1
e18680a7-8c5d-49c5-893a-4b704f7a1342,7898946068610,"DISCO CORTE CERAM TURBO 4.1/2"" 110X20MM METTUS",1,UN,"10,51","21,02",2
ef4883b6-8acb-4e61-aabf-ba0d2a4afe3e,7891345538142,"DISCO CORTE CERAM TURBO 4.1/2"" 110X20MM QUARTIZOLI",1,UN,"10,97","19,74",0
6e1e012d-d223-4943-9875-e0bcba0c2bee,7891799498191,"DISCO CORTE CERAM TURBO 4.1/2"" 110X20MM WURTH",1,UN,"16,06","32,11",1
dc7842f3-c389-4f91-a97b-89097f72e55e,7898143455732,"DISCO CORTE CERAM TURBO 4.1/2"" 115X22MM DTOOLS",1,UN,"11,928","26,2416",1
2265bfa6-3e7f-46e2-8412-8dc6aeecfd87,7898578165572,"DISCO CORTE CERAM TURBO 7""  VILA",1,UN,"31,9","57,42",0
11a0687a-0817-4fe1-bb60-36d0985f87b6,7898143442107,"DISCO CORTE CERAM TURBO 7"" PRO DTOOLS",1,UN,"32,35","71,17",3
b35e9b36-c6b8-41ea-94e6-0dec8a62c102,7898143453912,"DISCO CORTE CERAM TURBO 9"" PRO DTOOLS",1,UN,"45,41","81,73",1
53fd3d91-ece4-45a5-8540-0814eddd5772,7899583309081,"DISCO CORTE MAD 4.3/8"" 60D 115X22MM MISTER",1,UN,"6,85","15,07",0
4001bcff-c2cc-4771-b3c2-fc145ad5fd09,7899583309067,"DISCO CORTE MAD 4.3/8"" 80D 115X22MM MISTER",1,UN,"7,3","16,06",0
f611b436-a2b0-435b-801b-1b5544d1606a,7898143442756,"DISCO CORTE MAD 4.3/8"" C/VID 24D 110X20MM DTOOLS",1,UN,"9,67","21,274",0
1e71e4e8-df7b-4737-9ecc-4cf9d1d9a4a0,7899095404779,"DISCO CORTE MAD 4.3/8"" C/VID 24D 110X20MM FERTAK",1,UN,"7,85","17,27",0
67f01aa1-a52e-4432-9997-b840872e678c,7898946068757,"DISCO CORTE MAD 4.3/8"" C/VID 24D 110X20MM METUL",1,UN,"7,99","19,98",0
a17ae595-6ea5-4714-9b8c-de7f70e512af,7898011974860,"DISCO CORTE MAD 4.3/8"" C/VID 24D 110X20MM THOMPS",1,UN,"9,95","21,89",0
e82ef648-7848-48b6-8dac-cf61814af3e4,7898143453493,"DISCO CORTE MAD 4.3/8"" C/VID 40D 110X20MM DTOOLS",1,UN,"16,78","33,56",4
91dc7759-0768-4b94-934d-aeb67b037751,7898143451642,"DISCO CORTE MAD 4.3/8"" S/VID 60D 110X20MM DTOOLS",1,UN,"7,895","15,79",3
299f8c4a-aef8-4b2d-bda0-028163f9b9d8,7898143451932,"DISCO CORTE MAD 4.3/8"" SEGM C/TUNG 110X20MM DTOOLS",1,UN,"25,4925","45,8865",4
f94273ec-0f77-49ce-a01e-1727d6fcf3e8,7897451468632,"DISCO CORTE PORC TURBO 4.1/2"" 110X20MM CORTAG",1,UN,"24,53","49,06",4
eef19f61-3e36-46ff-83d5-dade5318f01b,7899583331549,"DISCO CORTE PORC TURBO 4.1/2"" 110X22MM DINAC",1,UN,"18,72","37,44",0
d21b6cb5-14a9-411c-952f-1195dada7013,7899583307230,"DISCO CORTE PORC TURBO 4.1/2"" 110X22MM MISTER",1,UN,"28,5","51,5",0
1a5f8dbf-6dea-494f-a928-7195da86c8c4,7899583314801,"DISCO CORTE PORC TURBO 4.1/2"" 110X22MM MISTER",1,UN,"34,09","61,35",0
